sample_id,P_aeruginosa,P_putida,P_fluorescens,P_stutzeri,P_syringae,P_mendocina,P_alcaligenes,P_chlororaphis,P_protegens,P_synxantha,P_koreensis,P_lundensis,P_plecoglossicida,P_fulva,P_knackmussii,P_monteilii,P_veronii,P_viridiflava,P_brassicacearum,P_trivialis,P_lini,P_rhodesiae,P_gessardii,P_putrefaciens,P_fuscovaginae,P_libanensis,P_entomophila,P_parafulva,P_resinovorans,P_resinicola,P_poe,P_simiae,P_coronafaciens,P_extremorientalis,P_marginalis,P_peli,P_brassicae,P_anguilliseptica,P_pristinamycinicus,P_citronellolis
Punjab_Wheat_Belt_20240115_rep1,31,282,14,329,1716,3,11,104,159,1548,1597,49,419,1187,1819,509,46,1,150,1636,251,1923,467,247,305,77,1,132,0,463,292,379,791,13,374,253,241,2221,422,406
Punjab_Wheat_Belt_20240115_rep2,191,27,225,20,946,36,1048,513,35,867,512,803,197,800,383,101,95,60,243,316,108,32,598,57,195,21,137,3,86,566,131,40,37,58,430,4,195,28,45,17
Punjab_Wheat_Belt_20240115_rep3,325,8,5,1,167,64,155,107,12,350,21,21,181,392,381,33,11,11,277,143,12,83,101,29,162,5,73,2,64,117,4,16,262,80,0,36,3,57,39,13
Punjab_Wheat_Belt_20240115_rep4,16,234,0,0,1120,204,177,1,68,762,164,65,80,265,426,31,17,103,45,267,0,77,8,31,37,30,14,37,49,71,182,62,27,3,41,41,236,66,47,21
Punjab_Wheat_Belt_20240115_rep5,582,315,191,101,1321,6,177,17,27,1238,580,161,759,988,2392,73,169,884,176,622,281,19,223,857,14,44,2,420,83,6,15,555,47,373,324,48,32,207,126,18
Punjab_Wheat_Belt_20240215_rep1,368,60,28,100,773,135,115,360,147,561,2,224,9,291,940,48,396,318,396,818,318,124,77,127,241,96,157,15,226,347,350,5,83,5,33,219,158,131,73,67
Punjab_Wheat_Belt_20240215_rep2,805,776,1243,452,3672,2318,121,383,9,916,62,6,88,2022,936,234,1183,236,34,778,1715,1088,24,471,26,45,177,202,783,18,1447,574,111,46,37,11,150,225,59,212
Punjab_Wheat_Belt_20240215_rep3,0,53,73,16,446,263,253,585,293,388,121,270,4,1648,175,391,2,4,90,975,43,4,0,120,281,14,129,1,1,185,182,46,6,110,72,89,4,33,408,12
Punjab_Wheat_Belt_20240215_rep4,67,75,397,113,2162,211,22,9,250,2935,84,137,127,411,926,1018,19,284,26,1423,36,540,11,805,1011,264,46,182,589,371,214,873,753,53,81,216,230,165,140,161
Punjab_Wheat_Belt_20240215_rep5,147,226,74,198,292,8,148,5,541,335,7,5,30,436,1015,43,119,121,5,2255,89,49,335,32,15,739,436,169,271,406,236,46,806,46,84,120,96,454,366,520
Punjab_Wheat_Belt_20240315_rep1,22,72,634,213,554,455,108,181,1031,1225,93,145,791,1213,2273,1067,282,194,466,1092,442,1840,98,82,337,38,360,7,59,306,32,273,320,1,651,285,674,19,1325,117
Punjab_Wheat_Belt_20240315_rep2,5,732,818,110,1834,63,637,1912,171,1408,1077,305,45,2048,1275,112,95,1220,48,2725,12,239,655,40,26,453,8,104,84,79,686,760,8,24,195,468,299,5,59,478
Punjab_Wheat_Belt_20240315_rep3,33,271,251,342,272,164,1912,135,171,960,267,42,39,585,809,277,77,9,179,581,96,94,250,177,144,123,2,35,17,5,48,422,253,401,11,34,32,164,262,284
Punjab_Wheat_Belt_20240415_rep1,428,124,1442,579,2375,114,203,1751,413,1267,7,584,167,2118,1658,5,176,589,172,831,456,394,674,301,0,106,45,131,482,557,536,121,209,1069,1837,112,186,612,1565,534
Punjab_Wheat_Belt_20240415_rep2,999,6,119,119,157,791,286,76,160,2261,93,182,41,1307,1275,526,192,369,283,674,871,413,251,74,38,0,149,137,0,501,6,38,18,207,545,39,159,132,2,80
Punjab_Wheat_Belt_20240415_rep3,689,9,60,909,1181,1,118,63,168,357,32,123,41,1215,3066,362,321,258,405,803,321,57,1290,1695,419,250,400,657,519,1324,100,1305,394,1990,503,4,439,227,2,90
Punjab_Wheat_Belt_20240415_rep4,11,1,983,1814,4303,585,108,1806,155,375,218,326,109,1556,2921,394,1082,79,1,552,0,82,546,63,537,130,119,778,129,748,557,290,10,477,640,71,88,596,227,116
Punjab_Wheat_Belt_20240515_rep1,3,13,9,224,93,26,86,31,942,244,3,144,159,921,238,33,128,14,210,757,174,1,30,820,323,175,224,57,79,0,143,22,4,470,1,18,54,140,0,357
Punjab_Wheat_Belt_20240515_rep2,94,251,101,273,246,371,126,81,593,1399,25,18,34,2105,848,290,204,328,54,736,1,249,866,11,229,1012,185,219,600,272,293,302,576,11,128,439,80,1,108,305
Punjab_Wheat_Belt_20240515_rep3,33,431,117,238,534,60,8,306,885,145,625,69,32,411,969,0,174,12,0,114,3,173,5,108,50,125,66,65,72,73,293,367,619,0,85,273,109,4,59,501
Varanasi_Rice_Farm_20240115_rep1,188,140,54,541,10,405,86,114,41,146,148,19,90,3,6,49,69,50,66,54,11,5,8,419,5,119,2,129,5,13,182,179,66,2,33,0,15,203,42,4
Varanasi_Rice_Farm_20240115_rep2,2660,836,2027,1081,4,349,1545,645,41,653,415,108,1182,674,28,7,356,204,200,737,327,182,3,480,4,8,42,433,232,31,477,180,95,1,44,18,167,19,842,6
Varanasi_Rice_Farm_20240115_rep3,3525,474,1498,1271,374,1804,489,448,95,134,109,51,1,107,938,13,117,343,70,3,43,43,1043,647,1183,59,302,2,223,11,34,44,2,0,61,61,641,351,321,36
